Time,LSTM_Pred,Time in state
2/18/2026 14:05,IDLE,00:14.0
2/18/2026 14:05,CYCLESTART,00:28.0
2/18/2026 14:06,IDLE,00:17.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:02.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:02.0
2/18/2026 14:06,CYCLESTART,00:01.0
2/18/2026 14:06,IDLE,00:01.0
2/18/2026 14:06,CYCLESTART,00:19.0
2/18/2026 14:06,IDLE,00:04.0
2/18/2026 14:07,CYCLESTART,00:07.0
2/18/2026 14:07,IDLE,00:23.5
2/18/2026 14:07,CYCLESTART,01:46.1
2/18/2026 14:09,IDLE,06:39.2
2/18/2026 14:15,CYCLESTART,00:04.0
2/18/2026 14:16,IDLE,00:12.5
2/18/2026 14:16,CYCLESTART,00:01.0
2/18/2026 14:16,IDLE,00:04.0
2/18/2026 14:16,CYCLESTART,00:02.0
2/18/2026 14:16,IDLE,03:45.6
2/18/2026 14:20,CYCLESTART,00:01.0
2/18/2026 14:20,IDLE,00:24.0
2/18/2026 14:20,CYCLESTART,00:02.0
2/18/2026 14:20,IDLE,00:01.0
2/18/2026 14:20,CYCLESTART,00:03.0
2/18/2026 14:20,IDLE,00:18.0
2/18/2026 14:20,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:01.0
2/18/2026 14:21,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:13.0
2/18/2026 14:21,CYCLESTART,00:01.0
2/18/2026 14:21,IDLE,00:02.0
2/18/2026 14:21,CYCLESTART,00:05.0
2/18/2026 14:21,IDLE,00:13.0
2/18/2026 14:21,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:03.0
2/18/2026 14:21,CYCLESTART,00:03.0
2/18/2026 14:21,IDLE,00:01.0
2/18/2026 14:21,CYCLESTART,00:07.5
2/18/2026 14:21,IDLE,00:13.0
2/18/2026 14:22,CYCLESTART,00:04.0
2/18/2026 14:22,IDLE,00:08.0
2/18/2026 14:22,CYCLESTART,00:02.0
2/18/2026 14:22,IDLE,00:11.0
2/18/2026 14:22,CYCLESTART,00:01.0
2/18/2026 14:22,IDLE,00:02.0
2/18/2026 14:22,CYCLESTART,00:05.0
2/18/2026 14:22,IDLE,00:03.0
2/18/2026 14:22,CYCLESTART,00:04.0
2/18/2026 14:22,IDLE,00:02.0
2/18/2026 14:22,CYCLESTART,00:03.0
2/18/2026 14:22,IDLE,00:04.0
2/18/2026 14:22,CYCLESTART,00:01.0
2/18/2026 14:22,IDLE,00:02.0
2/18/2026 14:23,CYCLESTART,00:04.0
2/18/2026 14:23,IDLE,00:01.0
2/18/2026 14:23,CYCLESTART,00:05.0
2/18/2026 14:23,IDLE,00:15.0
2/18/2026 14:23,CYCLESTART,00:02.0
2/18/2026 14:23,IDLE,00:21.0
2/18/2026 14:23,CYCLESTART,00:01.0
2/18/2026 14:23,IDLE,02:12.5
2/18/2026 14:26,CYCLESTART,09:45.1
2/18/2026 14:35,IDLE,00:21.0
2/18/2026 14:36,UNAVAILABLE,07:47.5
2/18/2026 14:43,IDLE,24:03.0
2/18/2026 15:07,CYCLESTART,04:29.0
2/18/2026 15:12,IDLE,11:52.1
2/18/2026 15:24,CYCLESTART,00:01.0
2/18/2026 15:24,IDLE,14:32.2
2/18/2026 15:38,CYCLESTART,00:04.0
2/18/2026 15:38,IDLE,00:02.0
2/18/2026 15:38,CYCLESTART,00:01.0
2/18/2026 15:39,IDLE,00:41.2
2/18/2026 15:39,CYCLESTART,04:02.5
2/18/2026 15:43,INCYCLE,00:03.0
2/18/2026 15:43,CYCLESTART,00:02.0
2/18/2026 15:43,INCYCLE,00:34.5
2/18/2026 15:44,IDLE,00:30.0
2/18/2026 15:44,CYCLESTART,00:05.0
2/18/2026 15:44,IDLE,00:05.0
2/18/2026 15:45,CYCLESTART,00:08.0
2/18/2026 15:45,IDLE,00:05.0
2/18/2026 15:45,CYCLESTART,00:04.0
2/18/2026 15:45,IDLE,00:03.0
2/18/2026 15:45,CYCLESTART,00:01.0
2/18/2026 15:45,IDLE,00:03.0
2/18/2026 15:45,CYCLESTART,00:04.0
2/18/2026 15:45,IDLE,00:07.0
2/18/2026 15:45,CYCLESTART,00:02.0
2/18/2026 15:45,IDLE,00:05.0
2/18/2026 15:45,CYCLESTART,00:02.0
2/18/2026 15:45,IDLE,00:03.0
2/18/2026 15:45,CYCLESTART,00:01.0
